course_id,course_gpa,valid_sections,total_graded,title,description,department,difficulty_score,difficulty_tier
JAPANSE2C,3.1379310344827585,17.0,348.0,Intermediate Japanese,"Japanese listening, speaking, reading, and writing abilities developed for meaningful communication. Content deals with daily life, society, and culture, including social issues in Japan. Approximately 180 kanji (Chinese characters) are introduced in addition to the 180 characters learned in 1A-B-C.",JAPANSE,4.750014715871736,medium
BME197,3.988095238095238,11.0,336.0,Seminars in Biomedical Engineering,Presentation of advanced topics and reports of current research efforts in Biomedical Engineering.,BME,1.0411101624628243,easy
ARTHIS165C,3.253968253968254,4.0,126.0,Modern American Art,"Focusing on the period from 1900 until 1965, this course considers the emergence and institutionalization of modern art in the United States.",ART HIS,4.243793717756372,medium
EECS141B,3.0899653979238755,10.0,289.0,Communication Systems II,"Signal space analysis. Optimum receivers for digital communication. Maximum a posteriori and maximum likelihood detection. Matched filter and correlation receiver. PAM, QAM, PSK, FSK, and MSK and their performance. Introduction to equalization, synchronization, information theory, and error control codes.",EECS,4.959268371911914,hard
EARTHSS176W,3.4050632911392404,4.0,79.0,"Marine Conservation, Policy, and Society","Conservation of marine ecosystems is important yet challenging due to competing physical, ecological, social, and regulatory issues. Students explore the principles of marine conservation, the scientific basics of marine ecosystems, and political and social processes involved with resource protection.",EARTHSS,3.584630383214942,medium
KOREAN1KA,3.6271186440677967,3.0,59.0,Fundamental Korean for Students with a Previous Background in Korean,"Natural approach with emphasis on the four fundamental skills of listening, speaking, reading, and writing for students with a previous background in Korean. Conducted in both English and Korean.",KOREAN,2.6158973948275026,medium
ENGRMAE114,3.180722891566265,10.0,332.0,Fuel Cell Fundamentals and Technology,"Introduction to electrochemistry and electrocatalysis; nature of fuel-cell electrodes and electrolytes; charge transfer reactions at interfaces; charge transport and mass transport processes; fuel processing reactions; determination of fuel cell efficiency, fuel flexibility, emissions, and other characteristics.",ENGRMAE,4.563332057496503,medium
DANCE171,3.9931129476584024,11.0,726.0,Dance Workshop,Rehearsal and performance in a student-choreographed production.,DANCE,1.0192200313947015,easy
BIOSCI75,3.3023516237402015,11.0,893.0,Human Development,"Processes leading to the birth of a healthy child and the avoidance of birth defects. Male and female reproductive systems, hormonal control of egg-sperm formations, sexual intercourse, contraception, venereal diseases, fertilization, cell division, embryonic development, fetal physiology.",BIO SCI,4.032717669513061,medium
SOCECOL100,3.4623655913978495,4.0,93.0,Special Topics in Social Ecology,Special topics courses are offered from time to time. In general they will focus on a topic from interdisciplinary perspectives. Course content varies with the interest of the instructor.,SOCECOL,3.3346448375440096,medium
PSCI192B,3.674785100286533,5.0,1396.0,The Science and Practice of Compassion,"Explores the latest scientific research on compassion and its correlates, and considers practical strategies for increasing compassion in everyday life. Students discover how cutting-edge research is yielding insights into kindness, empathy, altruism, and compassion.",PSCI,2.407948935267188,medium
ANTHRO125,3.3684210526315788,3.0,76.0,Anthropology of Debt,"Explores how debt has shaped culture across varied contexts geographically and historically. In what ways have societies naturalized indebtedness, taken it for granted as a fact of life, and used it for organizing social relations.",ANTHRO,3.744484873289555,medium
CRM/LAWC149,2.8342205323193914,16.0,1315.0,Violence in Society,"Current theory and research on aggression; anger and violence as problems in individual and social functioning. Process and functions of anger examined with regard to normal behavior and psychopathology. The determinants, prevalence, and implications of violence in society are analyzed.",CRM/LAW,6.074974364378965,hard
PERSIAN1A,3.883211678832117,7.0,137.0,Fundamentals in Persian,"Designed for students with little or no exposure to Persian. Students learn the modern writing system and grammar of Persian. Facilitates basic reading, writing, and speaking skills and fosters college-level literacy in Persian culture.",PERSIAN,1.4986724885120617,easy
CHC/LAT132B,3.2777777777777777,3.0,72.0,Chicana/Chicano History: Twentieth Century,"Examines social history of the Southwest with emphasis on Mexican-origin people. Discusses major questions, theory and research methods pertinent to Chicana/Chicano history. Themes explored include: immigration, xenophobia, class struggle, leadership, generational cohorts, unionization, education, barrioization, ethnicity, patriarchy, sexuality.",CHC/LAT,4.139922899746852,medium
