course_id,course_gpa,valid_sections,total_graded,title,description,department
AFAM113,3.9345794392523366,4.0,107.0,African American Cinema and Media,"Explores the diversity of Black creative production and the historical, social, and economic forces that shaped their emergence. May include Black film, hip-hop culture, fine art, photography, and others.",AFAM
AFAM118,3.9596774193548385,4.0,124.0,Topics in African American Humanities,"Provides students with an opportunity to pursue advanced work in African American studies from one or more humanities approaches (literature, film and media studies, art history, and others).",AFAM
AFAM128,3.8705882352941177,5.0,85.0,Topics in Gender/Sexuality,Expressions of genders and sexualities across the spectrum of African American experience and creativity.,AFAM
AFAM143,3.7218543046357615,7.0,151.0,Topics in African American Music,"Examines African American musical forms and traditions, such as blues, jazz, and reggae, in performance and/or critical and theoretical contexts.",AFAM
AFAM159,3.466666666666667,3.0,60.0,Prisons and Public Education,Looks at the connections between schools and prisons in the United States. Students learn about ideas that push beyond common trope of the “school to prison pipeline.”,AFAM
AFAM162W,3.99645390070922,11.0,282.0,The Black Protest Tradition,History and discourses of the black protest tradition. Traces emergence of black protest against racial slavery and white supremacy from the early colonial period to present and the complex elaboration of identity politics within black communities in the twentieth century.,AFAM
AFAM198,3.95,5.0,80.0,Directed Group Study,Special topics through directed reading. Paper required.,AFAM
AFAM40A,3.618006103763988,18.0,1966.0,African American Studies I,Discusses main contours of African American experience from the forced importation of Africans into the Americas in the late fifteenth century to the development of social movements in post-emancipation societies of the late nineteenth and twentieth centuries.,AFAM
AFAM40B,3.6555246053853296,17.0,2154.0,African American Studies II,"Introduction to the history of modern racial thinking in Western society and its relationship to the material contexts of racial oppression, with emphasis on its development in British colonies and U.S.",AFAM
AFAM40C,3.4409534127843986,11.0,923.0,African American Studies III,"Introduction to theories of racial blackness in the modern world, with emphasis on developments in British colonies and U.S. Traces emergence of blackness as term of collective identity, social organization, and political mobilization.",AFAM
ANTHRO100A,3.4878048780487805,10.0,328.0,Ethnography and Anthropological Methods,"Anthropological research, learning ethnographic methods, and how to choose a research topic, construct research questions, explore library resources, collect data, and write an analytical paper on research findings.",ANTHRO
ANTHRO100B,3.6932038834951455,9.0,515.0,Anthropology Careers,"Gives students the skills and perspective needed to leverage undergraduate anthropology education in diverse career domains. Students explore different career domains (health care, tech development, environmental governance, etc.) and learn to represent themselves professionally.",ANTHRO
ANTHRO10A,2.902547065337763,22.0,903.0,Probability and Statistics,"An introduction to probability and statistics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Emphasizes examples from sociology, anthropology, and related social science disciplines.",ANTHRO
ANTHRO10B,2.9917355371900825,12.0,605.0,Probability and Statistics,"An introduction to probability and statistics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Emphasizes examples from sociology, anthropology, and related social science disciplines.",ANTHRO
ANTHRO10C,3.352087114337568,11.0,551.0,Probability and Statistics,"An introduction to probability and statistics. Emphasis on a thorough understanding of the probabilistic basis of statistical inference. Emphasizes examples from sociology, anthropology, and related social science disciplines.",ANTHRO
ANTHRO121AW,3.2275132275132274,18.0,378.0,Kinship and Social Organization,"Organization of social life primarily in preindustrial societies. Theories of kinship, marriage regulations, sexual behavior, and social roles. Comparisons of biological, psychological, sociological, and economic explanations of social organization.",ANTHRO
ANTHRO121D,3.2837837837837838,7.0,222.0,Cross-Cultural Studies of Gender,"Explores the construction of gender in national and transnational contexts. Special attention is given to how race, sexuality, class, and global inequalities shape different experiences of gender, and how gender structures political, institutional, and social life across the world.",ANTHRO
ANTHRO121J,3.3533834586466167,10.0,266.0,Urban Anthropology,"Cultural roles of cities and the processes of urbanization in a comparative perspective. Focus includes nonwestern, nonindustrial societies of past and present; the relationship between modern urban centers across different world regions. Themes covered include: inequality, race, migration, poverty, capitalism.",ANTHRO
ANTHRO125,3.3684210526315788,3.0,76.0,Anthropology of Debt,"Explores how debt has shaped culture across varied contexts geographically and historically. In what ways have societies naturalized indebtedness, taken it for granted as a fact of life, and used it for organizing social relations.",ANTHRO
ANTHRO125A,3.118279569892473,4.0,93.0,Economic Anthropology,"Economic systems in comparative perspective: production, distribution, and consumption in market and non-market societies; agricultural development in the third world.",ANTHRO
ANTHRO125X,3.111111111111111,3.0,72.0,Transnational Migration,"Examines the movement of people across national borders, governmentality and the role of state practices to control populations, and issues of citizenship, belonging, and identity. Examples are drawn from the United States, Europe, Latin America, Asia, and Africa.",ANTHRO
ANTHRO128A,3.4410256410256412,5.0,195.0,"Science, Technology, Controversy","Explores ways in which the social sciences conceive of science as a sociocultural practice. Emphasis on literature in Science and Technology Studies (STS), especially writings that concern the relationship of science to space and place, power, and politics.",ANTHRO
ANTHRO128B,3.592063492063492,13.0,1890.0,"Race, Gender, and Science","Perfect for pre-health, science, and social science majors wanting to appreciate how science and society interact. Race and gender as biological and socio-cultural constructs are examined. Questions explored: What is disease? What is science? What are social and biological differences?",ANTHRO
ANTHRO128C,3.774193548387097,5.0,155.0,Digital Cultures ,"Explores cultural and political implications of the infotech revolution and the ways new media are used around the world, new cultural practices and spaces (e.g., cybercafes), debates surrounding the meanings of these new technologies, and their implications for transforming society.",ANTHRO
ANTHRO129,3.68,25.0,1075.0,Special Topics: Social and Economic Anthropology,Studies in selected areas of Social and Economic Anthropology. Topics addressed vary each quarter.,ANTHRO
ANTHRO132A,3.55,7.0,180.0,Psychological Anthropology,"Cultural differences and similarities in personality and behavior. Child-rearing practices and consequent adult personality characteristics, biocultural aspects of child development and attachment, culture and behavior evolutionary models, politically linked personality, cognitive anthropology, psychology of narrative forms, comparative national character studies.",ANTHRO
ANTHRO134A,3.629930966469428,25.0,4056.0,Medical Anthropology,"Introduces students to cross-cultural perspectives and critical theories in anthropological studies of medicine. Special attention is given to diverse ways of understanding bodies, illnesses, and therapeutic practices in our changing world.",ANTHRO
ANTHRO134B,3.773936170212766,7.0,376.0,Cultures of Biomedicine,"An introduction to the anthropolobical study of biomedicine and biotechnology. Topics include medicalization, experimentation and discovery, diagnosis, expertise, health activism, and biotechnology.",ANTHRO
ANTHRO134C,3.3666666666666667,3.0,450.0,"Medicine, Food, and Health","With anthropological studies of edible things as its foundation, this course explores topics related to the relationship between medical knowledge, eating, and health from a medical anthropological perspective.",ANTHRO
ANTHRO134F,3.7386861313868613,8.0,685.0,Anthropology of the Body,"Examines human bodies as both biological and sociocultural entities and explores the relationship among mind, body, and society cross-culturally. Topics include embodiment; race, sex, gender, and the body; somatization; control of the body; commodified bodies; and hybrid/cyborg bodies.",ANTHRO
ANTHRO134G,3.0385756676557865,3.0,337.0,HIV/AIDS in a Global Context,"Examines issues concerning cultural conceptions of HIV infection and disease worldwide. Topics include treatment and prevention, identity and behavior, risk, ethnicity, gender, youth, sexuality, activism, drug use, illness, religion, the clinical encounter, national belonging, and the pharmaceutical industry.",ANTHRO
ANTHRO134N,3.8202247191011236,3.0,178.0,"Disease, Health, and Inequality","Examines the relationships among disease, health, and social inequality in the U.S. and globally. Topics include infectious and chronic disease case studies, health policy, and strategies for promoting health equity.",ANTHRO
ANTHRO136A,3.4150943396226414,6.0,212.0,Nationalism and Ethnicity in the Contemporary World,"An exploration of the concepts of identity, culture, ethnicity, race, and nation through ethnographic cases, with a view to asking larger questions: how do people create nativeness and foreignness? How does ""culture"" get worked into contemporary racisms and nationalisms?",ANTHRO
ANTHRO136B,3.3890339425587466,6.0,383.0,History of Anthropological Theory,"Provides foundational knowledge in the discipline of anthropology by reviewing competing approaches in anthropological theory, from the 19th century to the present. Covers historically fundamental approaches—social evolutionism, functionalism—and recent movements such as feminism, cultural studies, poststructuralism, and postmodernism.",ANTHRO
ANTHRO136G,3.7091836734693877,5.0,196.0,Colonialism and Gender,"An anthropological enquiry into the ways colonial relations of power have been structured and gendered throughout the world, and to what effect. Examines the social locations of men and women in the everyday exercise of colonial and imperial power.",ANTHRO
ANTHRO136K,3.7137870855148343,14.0,573.0,The Woman and the Body,"Probes culture and politics of the female body in contemporary American life. Focusing on ""feminine beauty,"" examines diverse notions of beauty, bodily practices, and body politics embraced by American women of different classes, ethnicities, and sexualities.",ANTHRO
ANTHRO138,3.6503496503496504,5.0,143.0,Prisons and Public Education,Looks at the connections between schools and prisons in the United States. Students learn about ideas that push beyond common trope of the “school to prison pipeline.”,ANTHRO
ANTHRO139,3.643546971027217,62.0,2278.0,Special Topics in Cultural and Psychological Anthropology,Studies in selected areas of Cultural and Psychological Anthropology. Topics addressed vary each quarter.,ANTHRO
ANTHRO141A,3.232415902140673,12.0,327.0,Ancient Civilization of Mexico and the Southwest,"The prehistory and cultural evolution of the civilization which originated in Mexico, including the Olmecs, Aztecs, Toltecs, Maya, and Zapotec, as well as the Pueblos of the Southwestern U.S. Topics include the origins of food production and of the state.",ANTHRO
ANTHRO147,3.6739130434782608,3.0,92.0,Egyptomania,An exploration into the archaeological heritage and cultures of ancient Egypt. Also examines how ancient Egypt became appropriated as a popular cultural phenomenon and site of scholarship in the centuries after the Pharaohs.,ANTHRO
ANTHRO149,3.198473282442748,6.0,131.0,Special Topics in Archaeology,Studies in selected areas of Archaeology. Topics addressed vary each quarter.,ANTHRO
ANTHRO150A,3.463917525773196,3.0,97.0,Language and Social Cognition,"Explores the relationship between language and cognition in social and cultural contexts. The overall goal is to think through how language structure and use impact how individuals perceive, think about, and understand the world around them.",ANTHRO
ANTHRO151A,3.4545454545454546,3.0,77.0,"Improvisation, Language, and Culture","Addresses improvisation, both in performance and in everyday life. Examines improvisation as the ""flexible regulation"" of everyday behavior by exploring different scholarly treatments of language and interaction, and working on developing actual theatrical improvisation skills.",ANTHRO
ANTHRO162A,3.7117117117117115,5.0,111.0,Peoples and Cultures of Latin America,"Surveys the prehistory of Latin America and its indigenous cultures, emphasizing the impact of colonial rule, capitalism, and 20th-century transformations. Emphasis on communities from several countries. In some years, emphasis on comparisons between the Latin American and Caribbean experiences.",ANTHRO
ANTHRO162B,2.927710843373494,7.0,415.0,Indian North America,"A survey of indigenous peoples in North America: American Indians, Alaska Natives, First Nations, Native Americans. Tribal populations and geographic distributions, political and social organization, sovereignty, self-determination, intergovernmental relations; cultural continuity and change; management, preservation, development of environments/resources.",ANTHRO
ANTHRO163A,2.9023746701846966,9.0,379.0,Peoples of the Pacific,"The cultural history and recent developments among the Pacific peoples of Polynesia, Micronesia, Melanesia, New Guinea, and Australia.",ANTHRO
